Volební obvod;Kandidát.číslo;Kandidát.příjmení, jméno, tituly;Kandidát.věk;Volební strana;Navrhující strana;Politická příslušnost;Povolání;Bydliště;1. kolo.počet hlasů;1. kolo.%;2. kolo.počet hlasů;2. kolo.%
63;2;Pollák Jaroslav JUDr.​;69;NáS​;NáS​;NáS​;senior - OSVČ​;Kaplice​;68;0,19;0;0,00
63;3;Vrána Petr Ing.​;45;ANO​;ANO​;ANO​;náměstek hejtmana Olomouckého kraje​;Přerov​;7371;20,65;8566;44,09
63;4;Kocourek Tomáš MUDr. Mgr. MBA​;42;ODS​;ODS​;BEZPP​;lékař zdr. záchr. služby, člen zast. města Přerova​;Přerov​;4549;12,75;0;0,00
63;5;Lajtoch Jiří Ing. PhD.​;66;SOCDEM​;SOCDEM​;SOCDEM​;emeritní primátor města Přerova​;Přerov​;1145;3,20;0;0,00
63;6;Raindl Miroslav Mgr.​;66;KSČM​;KSČM​;KSČM​;dětský psycholog​;Hranice​;1847;5,17;0;0,00
63;7;Prachař Antonín Ing.​;57;NK​;NK​;BEZPP​;jednatel společnosti, dopravní expert​;Přerov​;2533;7,09;0;0,00
63;8;Seitlová Jitka RNDr.​;66;KDU-ČSL​;KDU-ČSL​;KDU-ČSL​;senátorka​;Lipník nad Bečvou​;9566;26,81;10859;55,90
63;9;Kubala Jiří generálmajor v. v. Ing.​;64;NEZ​;NEZ​;BEZPP​;vojenský pilot ve výslužbě​;Rokytnice​;636;1,78;0;0,00
63;10;Kudláček Jiří​;61;Trikolora+APB​;Trikolora​;APB​;starosta​;Hranice​;2058;5,76;0;0,00
63;11;Ondrůj Pavel​;48;Piráti​;Piráti​;BEZPP​;org.kult.akcí a man.kultury, předs.nadač.f. Blues​;Přerov​;3143;8,80;0;0,00
66;1;Kaláb Stanislav Mgr.​;69;SPD​;SPD​;BEZPP​;zastupitel Ol. kraje, před. Ol. kraj. fotbal.svazu​;Olomouc​;2206;5,74;0;0,00
66;2;Vincour Radek Mgr.​;53;ODS​;ODS​;ODS​;starosta Uničova, hudebník​;Uničov​;6875;17,89;0;0,00
66;3;Ošťádal Marek​;47;STAN​;STAN​;STAN​;starosta, hudebník (Stracené ráj), moderátor​;Náklo​;10222;26,60;14006;68,76
66;4;John František RNDr. Mgr. Ph.D.​;42;KDU-ČSL​;KDU-ČSL​;KDU-ČSL​;starosta města Zábřeh, odborník na živ. prostředí​;Zábřeh​;7101;18,48;0;0,00
66;5;Baudyš Antonín Bc.​;47;CESTA​;CESTA​;CESTA​;konzultant, Místopředseda hnutí CESTA​;Šumperk​;742;1,93;0;0,00
66;6;Zahradníček Jan Ing.​;60;ANO​;ANO​;ANO​;starosta​;Medlov​;8622;22,44;6362;31,23
66;7;Vomáčka Jaroslav doc. MUDr. Ph.D., MBA​;64;SOCDEM​;SOCDEM​;SOCDEM​;lékař, vysokoškolský učitel​;Litovel​;2648;6,89;0;0,00
69;1;Olšovský Pavel RNDr. Ph.D.​;53;VOK​;VOK​;BEZPP​;vědecký pracovník, projektový manažer, SŠ učitel​;Frýdek-Místek​;1528;4,26;0;0,00
69;2;Matýs Jaroslav MUDr.​;60;Trikolora​;Trikolora​;BEZPP​;lékař​;Frýdek-Místek​;1318;3,67;0;0,00
69;3;Lukša Pavol​;58;DV 2016​;DV 2016​;DV 2016​;starosta obce​;Čeladná​;2576;7,19;0;0,00
69;4;Pešatová Helena RNDr.​;61;STAN​;STAN​;BEZPP​;starostka​;Frýdlant nad Ostravicí​;7422;20,71;7966;54,03
69;5;Deutscher Karel​;45;SOCDEM​;SOCDEM​;SOCDEM​;náměstek primátora​;Frýdek-Místek​;2380;6,64;0;0,00
